pubkey,active_channels,closed_channels,opened_channels,age_days,asn,iso_code,net_type,sockets,alias
0250fd23f6f9188cc72fe1cf28d84bb010018aa0bc3d4b02f215370740823f1b2d,1,4,1,1723,,,tor,fik3d6i5a75r6lvwzfyq3m4gn35o5o3e3lx6e2bxd6yatebmzkycsjid.onion:9735,TheMachine
036b244fde77c949ec89da837454dc75a88d5cf98b2eb2561a271cbe6f036accc8,1,1,1,731,,,tor,66t5ncqgujmvgrji2tphqygrg6orawpx5vxkgv3jaehs73ye4d3jrlqd.onion:9735,Nothung
02ca86dd91612af46c8080827085f69540f2c4842c22b03be52ec301f68de25a8c,0,0,1,173,,,tor,jk35fdhzlqht2plm73p6o5ezswzd5qxzqoiwkirusgkzdina6ivkpvqd.onion:9735,Holdtipper77
02069f944d9d863e15c0f9d3933cacc49400a1346e83de9f5d1396228d06872e28,1,15,2,1764,,,tor,e2gglrllp7g4l5d35ryhtbrv5k6m4rk62uehka3h567sx3orqq67ydad.onion:9735,pussy_galore
02f5ce8e2ee5c7be4fc27e5a895de1fdcb347559e4d673ca3d4fa8b3502be9f654,2,1,3,170,,,none,,
02856a2c920ace51de86fdea029c26a23e81542ea3e13fcdcc5f56329ff947fb75,1,4,1,1112,,,tor,6trumzohtr3nkjuk7g2s3hunxvb6uktuamwlcwgu5gkc7d5y5jrndvyd.onion:9735,mdl100lnfun
036a56a73950b4f995cc5dad733caefe97dd9205fe0580f856d67a48b146325728,1,0,1,1515,,,tor,4vjki5sewlghulam3h4iwbdufwsdnzc4oubhrcittmvocdj7oa4p7myd.onion:9735,036a56a73950b4f995cc
0278b205f12285610730fb0d09d7336505579234f58598d718a4fce7f4a7715caa,1,2,1,1467,14061,US,both,"161.35.101.118:9735,vgjhehiljhftcipa2piwgrgk2g2iic3ceo5cg5joatoqnyklsoelmmqd.onion:9735",0278b205f12285610730
0323a74fbd280d757cdd8c04513d302077089f3205db62963d0dea468c6424d231,36,203,36,453,8447,AT,both,"91.114.116.190:9735,xz7tdo3my7edvudn4ywozwutrc2std63evhn5rauxcannd2ar3dulxid.onion:9735",LudwigTheAustrian
029a4be655e0adf185ee06ebb71c559b138d474f466661538f45aeba41fa6008ba,3,14,3,1348,,,tor,2yd3osc2fxdjaza3rk7xklzredllhuivcbmrkqd34jtnhtci6mqwptad.onion:9735,OrangeCoinOnly
0341ad8ffcb0bd385a4198e2852f991888bdeecad6c60bbd3458cff1d804c36bfb,1,0,1,42,9808,CN,clearnet,39.128.48.139:9735,LNT.wl270
0280598b41a603ecd63193aa236dee1190f089b5316f89e6d68bfbe0c32649c9e9,242,102,242,410,3303,CH,both,"188.63.154.37:9735,gyhscltbgsw7ksm2xlmox4kq6csveu7qfkablbolwbotf6xi2s6rtryd.onion:9735",node8153
02c88aa8337320094524e033378505f1236d6ec7ed3a8dc344f6a2d20a55a74819,1,0,1,170,4837,CN,clearnet,27.10.94.207:9735,LNT.TGY0015
03e75da253bc1e8a0966093ae4d44113c6bcc1db6afcb9f9e7f42c3254db795837,1,13,1,1166,16509,US,both,"54.244.234.100:20637,wirmsmzjuxv3gclqwdqfwa3mcndu63mjmazn446e67zl2btn5kc3ibqd.onion:9735",ALSGoldenWestChapter
0223497b9a8e088dbb020ed3bd174212213d20008cc9ccbb3fe3ff6b16db08e134,1,14,2,2517,13285,GB,clearnet,92.2.88.136:9735,ThunderInParadise
02b437d586e5824b3f14ea8960897ad02db88dc049c54f25cc44a582a9cc228198,6,5,6,567,,,tor,niyg2smpcg75zthsyptoqyvflxxwo4jd4ogfmlbed3licmpbzubmxaid.onion:9735,stranded_energy
022e687b9621f4a9ae5deb5836627e1a2bd218a1aec3b831f3aa43e4472497a775,13,16,13,356,,,tor,a5iprdxbnfctmovi3zpui2cfgkizkoiq2yzgqwgssiq2n27ulvxi64id.onion:9735,bigathena
0241e0f3e97edb6b3e80b5f1e779eba7808247af1a8c9324e592ef066e168ff833,3,29,11,2345,,,tor,viv472zwqk2efcg7dc5y3vshmbsntj44x3mm74ob5sj6nrbvquslkaid.onion:9735,Grega's
03ecb39d80deaf6a934bac97ba514ef9709560e765c6408fef3ae8f9bc2c9f5854,20,72,20,1731,56300,SG,clearnet,165.173.14.78:9735,LN-Haven
0320e145e234a879deaf22ded358ad88b686493175a862635257ceda07019277e7,1,0,1,71,,,clearnet,"0.0.0.0:9735,[::]:9735",Alby Hub
033995f0367c7fd8c30661fcb6a0616fb2fa48115d99e6d720ba3e2e40301cca13,1,2,1,1783,20115,US,clearnet,96.38.150.239:9735,LightningInAHauz
