interval_start,interval_end,active_peers
2025-09-26 00:00:00-04,2025-09-26 00:15:00-04,578
2025-09-26 00:15:00-04,2025-09-26 00:30:00-04,577
2025-09-26 00:30:00-04,2025-09-26 00:45:00-04,559
2025-09-26 00:45:00-04,2025-09-26 01:00:00-04,554
2025-09-26 01:00:00-04,2025-09-26 01:15:00-04,555
2025-09-26 01:15:00-04,2025-09-26 01:30:00-04,551
2025-09-26 01:30:00-04,2025-09-26 01:45:00-04,549
2025-09-26 01:45:00-04,2025-09-26 02:00:00-04,547
2025-09-26 02:00:00-04,2025-09-26 02:15:00-04,545
2025-09-26 02:15:00-04,2025-09-26 02:30:00-04,535
2025-09-26 02:30:00-04,2025-09-26 02:45:00-04,528
2025-09-26 02:45:00-04,2025-09-26 03:00:00-04,528
2025-09-26 03:00:00-04,2025-09-26 03:15:00-04,526
2025-09-26 03:15:00-04,2025-09-26 03:30:00-04,522
2025-09-26 03:30:00-04,2025-09-26 03:45:00-04,521
2025-09-26 03:45:00-04,2025-09-26 04:00:00-04,520
2025-09-26 04:00:00-04,2025-09-26 04:15:00-04,517
2025-09-26 04:15:00-04,2025-09-26 04:30:00-04,517
2025-09-26 04:30:00-04,2025-09-26 04:45:00-04,514
2025-09-26 04:45:00-04,2025-09-26 05:00:00-04,514
2025-09-26 05:00:00-04,2025-09-26 05:15:00-04,513
2025-09-26 05:15:00-04,2025-09-26 05:30:00-04,510
2025-09-26 05:30:00-04,2025-09-26 05:45:00-04,506
2025-09-26 05:45:00-04,2025-09-26 06:00:00-04,506
2025-09-26 06:00:00-04,2025-09-26 06:15:00-04,504
2025-09-26 06:15:00-04,2025-09-26 06:30:00-04,503
2025-09-26 06:30:00-04,2025-09-26 06:45:00-04,502
2025-09-26 06:45:00-04,2025-09-26 07:00:00-04,501
2025-09-26 07:00:00-04,2025-09-26 07:15:00-04,501
2025-09-26 07:15:00-04,2025-09-26 07:30:00-04,497
2025-09-26 07:30:00-04,2025-09-26 07:45:00-04,497
