orig_node,message_count,percentage_of_total
02abee897f5ab347fb917b30bf184c4b3ee33bd81d568958193f0cf3b7f7b41b44,958,2.34
032eafb65801a6cfb8da47c25138aa686640aec7eff486c04e8db777cf14725864,820,2.0
0364913d18a19c671bb36dd04d6ad5be0fe8f2894314c36a9db3f03c2d414907e1,545,1.33
03910da61c1b42e135f134ed92a537c758d1edac5436efbec5ee8cec1928e1a095,488,1.19
03649713e09e62168a829eddce2c2ea80579657af3afc72023d35669c927dfa758,488,1.19
02e1221434a21b8ce5818e92c6ec76301824dc87ed94b4628242e4b1f4a6ff445f,458,1.12
027100442c3b79f606f80f322d98d499eefcb060599efc5d4ecb00209c2cb54190,452,1.1
031fab3f6a8ae8588668fbe4bf4cae14c3aaa4134330b1798b81e60aaf9662ff20,407,0.99
024729f3d5f7794f4df09bfdb7ca23a4fbe6c38997cdd213c694a2cca1c27cbb17,342,0.83
02ba54585837609251865ba9835a32fbeb07f96abc20767dedaafeb17a2e5b8acf,328,0.8
03ccc570ec6aaff08d5435b3413f4b4af8175728a1ed244e4710121c8f5af6ea07,322,0.79
023e09c43b215bd3dbf483bcb409da3322ea5ea3b046f74698b89ee9ea785dd30a,319,0.78
02dfc9310263062fa4c1b2ceaae1c87412fbd1f75a4e3f5daecc66823900b07f02,305,0.74
037214db854cd0a0c1ecf577c0d1745a1322982a77e6272c98e5fa4aa1e94e26bf,300,0.73
0357482f188ee05967e2a64087ec6215698b262f4a9d792f485100ebd9b8290875,300,0.73
03dbc10e29cf092b7d77cffc173d6c2f31cfe1ea948ebe1a01bbbb91f323bdd850,297,0.72
034a9b2c51283caf64c5659224c9f09c6985114ceba45e661acfc395ddcdf3fbc2,295,0.72
024570df1d3cbf8a08537515b980d09937f5c9088fcd9af3e7522aa639f20d9167,294,0.72
03d6f80df785288de2fe5de19f24ba8a1db3d20647a88d0a903be9de3e7bb8fce1,262,0.64
022bd004d25d49a37a7825683c3b9978ce2095f04fefae278c1d4f5af7b1d1aac4,239,0.58
02ebfa30d95e70454a523416654903ae7c511193550b31a542a1d2744541203644,234,0.57
024557698c6ec8125344833ad6ce0aba8458fd570f8dee5a3df06c55e4e6843a4f,177,0.43
02ceb27f3d4e32b83f37dff8bad8cc802dc0f380ca0193e90514ae25bc32c7542e,173,0.42
036eb65676a65660e4c1ffd728d88b3d82d027d416fad59867471fe2123de0ab27,170,0.41
