peers_per_message,message_count,percentage
1,14245,10.67
2,2686,2.01
3,1977,1.48
4,1077,0.81
5,744,0.56
6,496,0.37
7,391,0.29
8,341,0.26
9,258,0.19
10,202,0.15
11,189,0.14
12,188,0.14
13,161,0.12
14,129,0.1
15,126,0.09
16,144,0.11
17,140,0.1
18,131,0.1
19,128,0.1
20,217,0.16
21,129,0.1
22,114,0.09
23,72,0.05
24,61,0.05
25,60,0.04
26,63,0.05
27,46,0.03
28,56,0.04
29,59,0.04
30,52,0.04
31,50,0.04
32,40,0.03
33,50,0.04
34,50,0.04
35,45,0.03
36,46,0.03
37,49,0.04
38,57,0.04
39,24,0.02
40,43,0.03
41,50,0.04
42,50,0.04
43,41,0.03
44,58,0.04
45,46,0.03
46,38,0.03
47,49,0.04
48,39,0.03
49,38,0.03
50,47,0.04
51,69,0.05
52,58,0.04
53,42,0.03
54,45,0.03
55,39,0.03
56,83,0.06
57,163,0.12
58,446,0.33
59,890,0.67
60,1125,0.84
61,1211,0.91
62,1670,1.25
63,1899,1.42
64,1824,1.37
65,1891,1.42
66,2051,1.54
67,1548,1.16
68,1301,0.97
69,1116,0.84
70,1319,0.99
71,1155,0.87
72,830,0.62
73,996,0.75
74,988,0.74
75,736,0.55
76,476,0.36
77,311,0.23
78,339,0.25
79,255,0.19
80,260,0.19
81,249,0.19
82,253,0.19
83,216,0.16
84,164,0.12
85,120,0.09
86,117,0.09
87,114,0.09
88,81,0.06
89,53,0.04
90,66,0.05
91,60,0.04
92,55,0.04
93,43,0.03
94,34,0.03
95,44,0.03
96,27,0.02
97,37,0.03
98,22,0.02
99,29,0.02
100,35,0.03
101,23,0.02
102,29,0.02
103,24,0.02
104,29,0.02
105,29,0.02
106,19,0.01
107,27,0.02
108,30,0.02
109,24,0.02
110,28,0.02
111,28,0.02
112,31,0.02
113,28,0.02
114,34,0.03
115,28,0.02
116,26,0.02
117,24,0.02
118,26,0.02
119,38,0.03
120,30,0.02
121,23,0.02
122,24,0.02
123,28,0.02
124,34,0.03
125,35,0.03
126,44,0.03
127,24,0.02
128,33,0.02
129,31,0.02
130,25,0.02
131,35,0.03
132,25,0.02
133,42,0.03
134,36,0.03
135,28,0.02
136,25,0.02
137,29,0.02
138,26,0.02
139,28,0.02
140,39,0.03
141,30,0.02
142,21,0.02
143,26,0.02
144,17,0.01
145,24,0.02
146,23,0.02
147,36,0.03
148,24,0.02
149,13,0.01
150,21,0.02
151,21,0.02
152,17,0.01
153,23,0.02
154,28,0.02
155,23,0.02
156,28,0.02
157,23,0.02
158,25,0.02
159,22,0.02
160,23,0.02
161,23,0.02
162,30,0.02
163,28,0.02
164,19,0.01
165,25,0.02
166,22,0.02
167,23,0.02
168,10,0.01
169,29,0.02
170,19,0.01
171,18,0.01
172,14,0.01
173,18,0.01
174,21,0.02
175,28,0.02
176,21,0.02
177,20,0.01
178,14,0.01
179,22,0.02
180,18,0.01
181,23,0.02
182,18,0.01
183,23,0.02
184,15,0.01
185,16,0.01
186,16,0.01
187,17,0.01
188,18,0.01
189,26,0.02
190,12,0.01
191,12,0.01
192,18,0.01
193,17,0.01
194,18,0.01
195,21,0.02
196,21,0.02
197,17,0.01
198,36,0.03
199,23,0.02
200,14,0.01
201,15,0.01
202,18,0.01
203,21,0.02
204,18,0.01
205,12,0.01
206,14,0.01
207,19,0.01
208,14,0.01
209,21,0.02
210,22,0.02
211,23,0.02
212,15,0.01
213,12,0.01
214,19,0.01
215,23,0.02
216,18,0.01
217,15,0.01
218,25,0.02
219,16,0.01
220,29,0.02
221,22,0.02
222,20,0.01
223,23,0.02
224,22,0.02
225,17,0.01
226,25,0.02
227,18,0.01
228,16,0.01
229,21,0.02
230,18,0.01
231,16,0.01
232,28,0.02
233,18,0.01
234,15,0.01
235,23,0.02
236,20,0.01
237,19,0.01
238,21,0.02
239,14,0.01
240,17,0.01
241,23,0.02
242,17,0.01
243,20,0.01
244,16,0.01
245,21,0.02
246,24,0.02
247,20,0.01
248,22,0.02
249,16,0.01
250,15,0.01
251,25,0.02
252,19,0.01
253,22,0.02
254,19,0.01
255,27,0.02
256,16,0.01
257,22,0.02
258,22,0.02
259,24,0.02
260,33,0.02
261,31,0.02
262,19,0.01
263,23,0.02
264,13,0.01
265,17,0.01
266,25,0.02
267,24,0.02
268,19,0.01
269,27,0.02
270,18,0.01
271,28,0.02
272,25,0.02
273,22,0.02
274,20,0.01
275,28,0.02
276,19,0.01
277,23,0.02
278,16,0.01
279,32,0.02
280,28,0.02
281,30,0.02
282,22,0.02
283,24,0.02
284,22,0.02
285,25,0.02
286,40,0.03
287,30,0.02
288,34,0.03
289,40,0.03
290,36,0.03
291,45,0.03
292,50,0.04
293,53,0.04
294,55,0.04
295,63,0.05
296,43,0.03
297,63,0.05
298,75,0.06
299,74,0.06
300,62,0.05
301,65,0.05
302,63,0.05
303,66,0.05
304,54,0.04
305,66,0.05
306,66,0.05
307,69,0.05
308,64,0.05
309,45,0.03
310,63,0.05
311,65,0.05
312,74,0.06
313,71,0.05
314,76,0.06
315,93,0.07
316,81,0.06
317,87,0.07
318,96,0.07
319,82,0.06
320,99,0.07
321,109,0.08
322,105,0.08
323,116,0.09
324,105,0.08
325,108,0.08
326,110,0.08
327,113,0.08
328,129,0.1
329,106,0.08
330,107,0.08
331,117,0.09
332,123,0.09
333,123,0.09
334,107,0.08
335,123,0.09
336,127,0.1
337,101,0.08
338,125,0.09
339,111,0.08
340,114,0.09
341,134,0.1
342,120,0.09
343,140,0.1
344,130,0.1
345,123,0.09
346,140,0.1
347,144,0.11
348,136,0.1
349,126,0.09
350,110,0.08
351,117,0.09
352,155,0.12
353,130,0.1
354,138,0.1
355,138,0.1
356,135,0.1
357,134,0.1
358,119,0.09
359,140,0.1
360,153,0.11
361,129,0.1
362,127,0.1
363,132,0.1
364,99,0.07
365,124,0.09
366,141,0.11
367,141,0.11
368,118,0.09
369,166,0.12
370,143,0.11
371,117,0.09
372,136,0.1
373,143,0.11
374,138,0.1
375,132,0.1
376,147,0.11
377,146,0.11
378,155,0.12
379,155,0.12
380,140,0.1
381,135,0.1
382,149,0.11
383,140,0.1
384,120,0.09
385,137,0.1
386,145,0.11
387,147,0.11
388,141,0.11
389,133,0.1
390,145,0.11
391,151,0.11
392,148,0.11
393,155,0.12
394,128,0.1
395,147,0.11
396,170,0.13
397,150,0.11
398,168,0.13
399,145,0.11
400,143,0.11
401,165,0.12
402,150,0.11
403,163,0.12
404,165,0.12
405,165,0.12
406,127,0.1
407,132,0.1
408,130,0.1
409,159,0.12
410,164,0.12
411,149,0.11
412,163,0.12
413,162,0.12
414,150,0.11
415,155,0.12
416,157,0.12
417,151,0.11
418,144,0.11
419,180,0.13
420,170,0.13
421,195,0.15
422,172,0.13
423,153,0.11
424,170,0.13
425,163,0.12
426,161,0.12
427,176,0.13
428,164,0.12
429,173,0.13
430,179,0.13
431,179,0.13
432,183,0.14
433,201,0.15
434,163,0.12
435,143,0.11
436,190,0.14
437,182,0.14
438,202,0.15
439,176,0.13
440,182,0.14
441,195,0.15
442,211,0.16
443,215,0.16
444,190,0.14
445,192,0.14
446,188,0.14
447,189,0.14
448,198,0.15
449,205,0.15
450,194,0.15
451,200,0.15
452,196,0.15
453,209,0.16
454,218,0.16
455,206,0.15
456,189,0.14
457,197,0.15
458,190,0.14
459,161,0.12
460,218,0.16
461,221,0.17
462,206,0.15
463,230,0.17
464,218,0.16
465,230,0.17
466,188,0.14
467,187,0.14
468,221,0.17
469,245,0.18
470,254,0.19
471,313,0.23
472,363,0.27
473,361,0.27
474,412,0.31
475,420,0.31
476,512,0.38
477,574,0.43
478,701,0.53
479,759,0.57
480,843,0.63
481,844,0.63
482,927,0.69
483,1015,0.76
484,1067,0.8
485,1132,0.85
486,1168,0.87
487,1214,0.91
488,1271,0.95
489,1342,1.01
490,1344,1.01
491,1201,0.9
492,1192,0.89
493,1200,0.9
494,1110,0.83
495,1070,0.8
496,1054,0.79
497,1004,0.75
498,937,0.7
499,981,0.73
500,991,0.74
501,1023,0.77
502,1006,0.75
503,992,0.74
504,872,0.65
505,772,0.58
506,746,0.56
507,676,0.51
508,669,0.5
509,559,0.42
510,547,0.41
511,476,0.36
512,468,0.35
513,466,0.35
514,441,0.33
515,444,0.33
516,445,0.33
517,423,0.32
518,394,0.3
519,362,0.27
520,397,0.3
521,347,0.26
522,368,0.28
523,363,0.27
524,346,0.26
525,375,0.28
526,434,0.33
527,469,0.35
528,456,0.34
529,387,0.29
530,456,0.34
531,400,0.3
532,463,0.35
533,469,0.35
534,538,0.4
535,574,0.43
536,592,0.44
537,555,0.42
538,456,0.34
539,423,0.32
540,413,0.31
541,356,0.27
542,341,0.26
543,257,0.19
544,213,0.16
545,196,0.15
546,148,0.11
547,146,0.11
548,133,0.1
549,106,0.08
550,73,0.05
551,78,0.06
552,48,0.04
553,58,0.04
554,68,0.05
555,62,0.05
556,55,0.04
557,66,0.05
558,72,0.05
559,63,0.05
560,64,0.05
561,57,0.04
562,41,0.03
563,40,0.03
564,24,0.02
565,22,0.02
566,9,0.01
567,10,0.01
568,5,0.0
569,9,0.01
570,3,0.0
571,1,0.0
