scid,message_count,percentage_of_total
1000862345046458368,393,0.42
877667564706922496,305,0.33
888600008882126856,303,0.33
877913855414697985,302,0.33
885084870308200449,302,0.33
885305871997796353,302,0.33
877906158825897985,302,0.33
938964238463533058,302,0.33
991703413267103745,302,0.33
1003929982585012224,302,0.33
807152585476079617,302,0.33
877876472047271937,302,0.33
974047455560794114,286,0.31
977608773642944515,231,0.25
991686920662810624,230,0.25
987174524894969856,190,0.21
947890073924009985,175,0.19
968864357817712641,164,0.18
988711642104922113,144,0.16
943927433980018689,126,0.14
957188643819683841,118,0.13
989660520616951809,113,0.12
906799125485584385,107,0.12
979028243231866881,107,0.12
968866556679028736,101,0.11
989581355840831489,99,0.11
1000754592955760641,99,0.11
1001392309641216000,98,0.11
1000862345047179264,96,0.1
1001870597229772801,96,0.1
1003396719331311619,95,0.1
1001870597230166017,95,0.1
1001075650289270784,95,0.1
1000746896357195776,95,0.1
983591216467935232,95,0.1
1001870597229903873,94,0.1
999346118592692225,93,0.1
1000862345047113728,93,0.1
1002023429328273409,93,0.1
1000863444537704448,93,0.1
1001375817037185024,92,0.1
999795818757685249,92,0.1
981203077335875585,92,0.1
1001870597229641728,92,0.1
1002166365876912129,92,0.1
1000862345047310336,92,0.1
1001075650289074176,92,0.1
944420015287107585,92,0.1
988700646991659009,92,0.1
1000863444537638912,92,0.1
1001375817037316096,92,0.1
1001075650289401856,92,0.1
1001870597229838336,91,0.1
1001075650289205248,91,0.1
1000862345046654976,91,0.1
1003348340948860929,91,0.1
1000862345046917120,91,0.1
1001392309641150464,91,0.1
962664211632029697,91,0.1
1001094341995986945,91,0.1
1000862345046851584,91,0.1
1001911279302082560,91,0.1
1000862345046786048,91,0.1
1000874439671676928,91,0.1
1000863444537769984,91,0.1
1001074550799532032,91,0.1
1000746896356409344,91,0.1
1000863444537901056,91,0.1
1001375817037250560,91,0.1
1000746896356147200,91,0.1
1000746896356343808,91,0.1
1000920619246485505,91,0.1
1002166365876912133,91,0.1
1001075650289467392,91,0.1
1000862345046589440,91,0.1
1000862345046523904,91,0.1
1000862345047244800,91,0.1
1000746896356212736,91,0.1
1000862345046982656,91,0.1
1000862345046720512,91,0.1
961971519336742913,91,0.1
1000746896356278272,91,0.1
1001903582631100416,90,0.1
1000874439671742464,90,0.1
1001074550799925248,90,0.1
1001075650289336320,90,0.1
1001533047139794945,90,0.1
1001393409161101313,90,0.1
1001870597229707264,90,0.1
1001870597230034945,90,0.1
1001242776251006977,90,0.1
1001870597229576193,90,0.1
1001417598414749697,90,0.1
1000914022088310784,90,0.1
978877610241294337,90,0.1
1001071252298596352,90,0.1
1001870597229969409,90,0.1
1001870597230100481,90,0.1
1001375817037053952,90,0.1
979856175611314178,89,0.1
995495628845350913,88,0.1
1004031137584316417,82,0.09
980271790786740225,82,0.09
1002157569729036288,81,0.09
993763897980354561,79,0.09
918112000471138304,79,0.09
985346037012168705,78,0.08
996261988532158464,76,0.08
989973881454985218,75,0.08
966550985297494017,72,0.08
955029203011108864,71,0.08
992146516543864833,71,0.08
957228226172354561,70,0.08
991224026161348609,68,0.07
911021250026602497,67,0.07
992409299691110400,66,0.07
955118263271817218,66,0.07
1005648519179206657,65,0.07
954255146823581697,65,0.07
949807622209994753,65,0.07
1002984402522144768,64,0.07
981847390997250048,64,0.07
1004070720084115457,63,0.07
1002266421487599616,63,0.07
934423255556816897,62,0.07
1006565511865630722,62,0.07
1002028927008571393,61,0.07
976876498915360769,60,0.06
998766675929202688,60,0.06
1005655116305530881,60,0.06
806344444561129473,60,0.06
959201849532874753,59,0.06
1005064678559514625,59,0.06
1001387911667122176,59,0.06
1001461578946117633,59,0.06
1001404404296646657,59,0.06
990913963901648896,59,0.06
1001567132081520641,58,0.06
941009330210471936,58,0.06
1001618809159286785,58,0.06
1001327438559772672,57,0.06
1002689733371887616,57,0.06
1007131760376741889,57,0.06
996547861598044160,57,0.06
974704963567943681,57,0.06
1001251572219838464,57,0.06
895500543934595073,57,0.06
1001816721204117504,57,0.06
1001804626548490240,56,0.06
998440121001771008,56,0.06
1003494575880732672,56,0.06
982398246429982720,56,0.06
1001671585771225088,56,0.06
960404715392663553,56,0.06
1002688633974161409,55,0.06
999280147886768129,55,0.06
1002721619387547648,55,0.06
907387364150804480,55,0.06
943470037171568641,54,0.06
1001357125374181376,54,0.06
995337299186024448,53,0.06
1001302149811142657,53,0.06
1004509425098031105,53,0.06
963492143873458176,53,0.06
1001387911662534657,53,0.06
962354149381701633,53,0.06
1005893710410022917,52,0.06
983948557789429770,52,0.06
996915098443907072,52,0.06
988018949870256129,52,0.06
998767775542607872,52,0.06
969732971925078016,52,0.06
999929959352172545,51,0.06
1002141077059928064,51,0.06
952803791400075267,51,0.06
982412540159262721,51,0.06
987752867965239296,51,0.06
985562640927031297,51,0.06
1003597929952313344,51,0.06
974952353642905601,50,0.05
984675335040794625,50,0.05
993153669061148673,50,0.05
986511519329878018,49,0.05
979856175611314177,49,0.05
998794163844153345,49,0.05
995977214928289793,49,0.05
992922771744161792,49,0.05
999601205324677120,49,0.05
990449969993285632,48,0.05
994482978567028738,48,0.05
1007412135955136513,48,0.05
988709443071508481,48,0.05
965315134154014721,48,0.05
801039300837965825,48,0.05
996401626495320064,47,0.05
815130641897029635,47,0.05
970420166626574338,47,0.05
939065393511989249,47,0.05
998766675929268225,47,0.05
952818085095276546,47,0.05
917869008391700481,47,0.05
996249893950259200,47,0.05
985720970460397568,47,0.05
1003018487344922624,46,0.05
984243227067613184,46,0.05
939102776952684545,46,0.05
881559835960410113,46,0.05
952818085095276545,46,0.05
969729673425911808,46,0.05
935760261696913409,46,0.05
932909228030361601,46,0.05
938234162732400642,46,0.05
953759267144007681,46,0.05
996218008015994880,46,0.05
912883822703935488,46,0.05
988540118410264576,46,0.05
985250379447074817,46,0.05
979303121050664961,45,0.05
1006527029035532288,45,0.05
994523660770344978,45,0.05
986037629804085249,45,0.05
927653562449920001,45,0.05
935760261696913410,45,0.05
895730341817417729,45,0.05
952803791400075266,45,0.05
996292774900400148,45,0.05
997025049523322880,45,0.05
985537352048640001,45,0.05
952964320210255872,45,0.05
919866821043879937,45,0.05
1000102582602694657,45,0.05
989945294074281987,45,0.05
968090301503963137,45,0.05
948848848127197184,45,0.05
971904507319156736,45,0.05
983912273793384448,45,0.05
982317982065164288,45,0.05
982703910571147265,45,0.05
984243227067613185,45,0.05
978964471525146624,45,0.05
984172858247086080,45,0.05
1000894230876127232,45,0.05
935774555313471489,45,0.05
952803791400075265,45,0.05
1005923397116821504,45,0.05
983024968015544321,45,0.05
985562640927031296,45,0.05
979381186469036033,45,0.05
1001998140728803328,44,0.05
996915098399932416,44,0.05
996919496497168385,44,0.05
974199188140589057,44,0.05
1002033325068976128,44,0.05
1007234015117639681,43,0.05
1002689733380800512,43,0.05
1002987701020655617,43,0.05
964191433256402946,43,0.05
942010985298329600,42,0.05
1005826640118546432,42,0.05
963945142715547648,41,0.04
992805123934453761,41,0.04
984846858665000960,41,0.04
1002986601541599233,40,0.04
1006303828202946561,40,0.04
801693510329040896,40,0.04
1006698552892063744,40,0.04
993861754594000900,40,0.04
940436484535681025,39,0.04
991574770497355779,39,0.04
997343907850485761,39,0.04
985277867315429376,39,0.04
1006710647560929282,39,0.04
1003713378828550145,39,0.04
969596632433623041,39,0.04
992768840045559811,38,0.04
1002025628482142209,38,0.04
1000884335432499201,38,0.04
991503302190301184,38,0.04
1000313688787189761,38,0.04
1006335714092384257,38,0.04
968193655657332738,38,0.04
952197960475410432,38,0.04
1001224084383596545,38,0.04
997777115496251392,38,0.04
1002135579555594241,38,0.04
993417552001630208,38,0.04
994367529892773891,38,0.04
994548949346811904,38,0.04
1001500061918756865,38,0.04
