orig_node,message_count,percentage_of_total
02abee897f5ab347fb917b30bf184c4b3ee33bd81d568958193f0cf3b7f7b41b44,3369,2.69
03910da61c1b42e135f134ed92a537c758d1edac5436efbec5ee8cec1928e1a095,2415,1.93
032eafb65801a6cfb8da47c25138aa686640aec7eff486c04e8db777cf14725864,1923,1.54
0364913d18a19c671bb36dd04d6ad5be0fe8f2894314c36a9db3f03c2d414907e1,1610,1.29
036b4e5674ce643681269f05fb73b03333b176e123d45951aa22ad814f70a1e526,1527,1.22
027100442c3b79f606f80f322d98d499eefcb060599efc5d4ecb00209c2cb54190,1398,1.12
03649713e09e62168a829eddce2c2ea80579657af3afc72023d35669c927dfa758,1369,1.09
031fab3f6a8ae8588668fbe4bf4cae14c3aaa4134330b1798b81e60aaf9662ff20,1004,0.8
02e1221434a21b8ce5818e92c6ec76301824dc87ed94b4628242e4b1f4a6ff445f,998,0.8
02dfc9310263062fa4c1b2ceaae1c87412fbd1f75a4e3f5daecc66823900b07f02,994,0.79
024729f3d5f7794f4df09bfdb7ca23a4fbe6c38997cdd213c694a2cca1c27cbb17,977,0.78
03dbc10e29cf092b7d77cffc173d6c2f31cfe1ea948ebe1a01bbbb91f323bdd850,972,0.78
023e09c43b215bd3dbf483bcb409da3322ea5ea3b046f74698b89ee9ea785dd30a,962,0.77
03ccc570ec6aaff08d5435b3413f4b4af8175728a1ed244e4710121c8f5af6ea07,938,0.75
024570df1d3cbf8a08537515b980d09937f5c9088fcd9af3e7522aa639f20d9167,934,0.75
0357482f188ee05967e2a64087ec6215698b262f4a9d792f485100ebd9b8290875,931,0.74
022bd004d25d49a37a7825683c3b9978ce2095f04fefae278c1d4f5af7b1d1aac4,929,0.74
037214db854cd0a0c1ecf577c0d1745a1322982a77e6272c98e5fa4aa1e94e26bf,918,0.73
0321b41dfe60d02b0532363a8f25b589b09a3c4e18fc69992077f40cf48b7efdf3,885,0.71
036eb65676a65660e4c1ffd728d88b3d82d027d416fad59867471fe2123de0ab27,594,0.47
02ebfa30d95e70454a523416654903ae7c511193550b31a542a1d2744541203644,591,0.47
